,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,kapaa,22.0752,-159.319,79.12,83,90,1.01,US,1627139215
1,norman wells,35.2226,-97.4395,86.92,70,1,17.27,US,1627139227
2,rikitea,-23.1203,-134.9692,68.61,55,0,3.51,PF,1627139026
3,saldanha,-33.0117,17.9442,60.28,54,11,6.08,ZA,1627139153
4,anibongan,7.3933,125.7189,79.54,87,42,4.16,PH,1627139227
5,cherskiy,68.75,161.3,37.9,87,69,4.23,RU,1627139033
6,ishigaki,24.3448,124.1572,83.52,85,100,22.03,JP,1627139227
7,sao joao da barra,20.5113,76.2129,76.98,80,100,13.13,IN,1627139228
8,bulgan,48.8125,103.5347,59.47,83,100,1.3,MN,1627139228
9,leningradskiy,69.3833,178.4167,36.18,95,100,2.93,RU,1627139228
10,mys shmidta,62.0589,48.6201,51.69,69,97,9.13,RU,1627139229
11,moron,-34.6534,-58.6198,58.8,82,100,11.99,AR,1627139026
12,omboue,-1.5746,9.2618,76.71,66,35,10.8,GA,1627139229
13,busselton,-33.65,115.3333,55.09,75,99,14.07,AU,1627139229
14,ushuaia,-54.8,-68.3,37.02,85,72,4.25,AR,1627139230
15,jamestown,42.097,-79.2353,77.02,60,1,5.99,US,1627139174
16,mataura,-46.1927,168.8643,39.47,91,90,3.67,NZ,1627138998
17,ugoofaaru,5.6667,73.0,82.9,72,100,5.57,MV,1627139230
18,ahipara,-35.1667,173.1667,52.0,87,19,9.08,NZ,1627139230
19,lompoc,34.6391,-120.4579,56.88,98,90,3.44,US,1627139070
20,ligatne,57.2343,25.0406,73.26,55,30,3.0,LV,1627139231
21,daru,-9.0763,143.2092,78.26,85,98,12.66,PG,1627139231
22,constitucion,-35.3333,-72.4167,52.93,82,99,12.15,CL,1627139186
23,hithadhoo,-0.6,73.0833,82.53,78,84,13.13,MV,1627139159
24,coihaique,-45.5752,-72.0662,34.41,100,90,0.0,CL,1627139232
25,tuktoyaktuk,69.4541,-133.0374,48.87,58,97,14.03,CA,1627138996
26,hilo,19.7297,-155.09,74.8,94,90,3.44,US,1627139113
27,pisco,-13.7,-76.2167,64.45,72,90,3.44,PE,1627139129
28,svetlyy,54.675,20.1347,69.85,51,63,9.8,RU,1627139232
29,hermanus,-34.4187,19.2345,63.81,55,78,1.19,ZA,1627139232
30,deogarh,21.5333,84.7333,78.98,89,96,4.63,IN,1627139233
31,yellowknife,62.456,-114.3525,48.56,70,96,5.01,CA,1627139037
32,saint-philippe,-21.3585,55.7679,72.95,80,55,6.53,RE,1627139233
33,klaksvik,62.2266,-6.589,52.72,94,77,21.99,FO,1627139233
34,nikolskoye,59.7035,30.7861,69.4,35,40,6.33,RU,1627139056
35,kurilsk,45.2333,147.8833,63.46,91,71,4.27,RU,1627139234
36,tiksi,71.6872,128.8694,40.78,91,100,6.49,RU,1627139234
37,huancabamba,-5.2386,-79.4506,70.88,39,33,4.34,PE,1627139234
38,castro,-24.7911,-50.0119,70.02,40,0,7.74,BR,1627139235
39,mantua,45.1667,10.7833,95.7,57,51,3.76,IT,1627139235
40,lakes entrance,61.6071,-149.3086,56.21,89,90,0.0,US,1627139235
41,mount isa,53.6597,-1.8537,71.06,74,100,3.0,GB,1627139235
42,wuhu,31.3366,118.3755,76.12,94,100,9.1,CN,1627139236
43,new norfolk,6.6518,-10.5932,75.34,89,100,4.63,LR,1627139236
44,eureka,40.8021,-124.1637,54.21,75,1,3.67,US,1627138987
45,atuona,-9.8,-139.0333,77.94,67,99,15.57,PF,1627139236
46,waingapu,-9.6567,120.2641,72.55,74,6,5.79,ID,1627139237
47,kishtwar,33.3167,75.7667,72.55,90,42,2.62,IN,1627139237
48,seguela,7.9611,-6.6731,83.1,57,100,6.64,CI,1627139237
49,yatou,37.15,122.3833,75.94,80,52,3.96,CN,1627139238
50,rocha,-34.4833,-54.3333,64.17,75,77,8.52,UY,1627139238
51,arraial do cabo,-22.8362,-46.646,76.89,22,0,5.86,BR,1627139238
52,grand centre,38.8755,-109.5012,79.83,42,100,9.69,US,1627139239
53,avera,33.194,-82.5271,86.38,60,0,5.82,US,1627139239
54,kidal,18.4411,1.4078,93.34,40,93,20.74,ML,1627139239
55,dayong,25.0209,118.2898,79.09,91,100,2.51,CN,1627139239
56,penzance,50.1186,-5.5371,69.12,77,20,14.97,GB,1627139240
57,meiganga,6.5167,14.3,74.53,83,69,5.28,CM,1627139240
58,maceio,-9.6658,-35.7353,81.84,65,75,16.11,BR,1627138973
59,dingle,10.9995,122.6711,78.33,83,98,11.45,PH,1627139240
60,formosa do rio preto,-26.1775,-58.1781,84.63,30,0,12.17,AR,1627139240
61,qaanaaq,77.484,-69.3632,40.01,67,69,3.38,GL,1627139241
62,avarua,-21.2078,-159.775,66.25,94,68,3.44,CK,1627139038
63,jalu,29.0331,21.5482,95.74,17,0,15.77,LY,1627139241
64,hobart,-42.8794,147.3294,44.26,86,98,3.0,AU,1627138998
65,albany,42.6001,-73.9662,78.31,67,2,3.67,US,1627139241
66,jacareacanga,-6.2222,-57.7528,94.17,28,84,4.88,BR,1627139242
67,narsaq,60.9167,-46.05,46.62,90,100,5.26,GL,1627138991
68,tasiilaq,65.6145,-37.6368,42.96,97,100,3.04,GL,1627139242
69,kon tum,5.2197,-3.3876,81.95,60,90,9.44,CI,1627139242
70,bethel,41.3712,-73.414,80.06,60,1,1.01,US,1627139243
71,koster,-25.863,26.8976,50.27,26,0,8.57,ZA,1627139243
72,luderitz,-26.6481,15.1594,69.75,29,4,3.58,NA,1627139243
73,palmer,42.1584,-72.3287,79.32,56,20,1.99,US,1627139243
74,nantucket,41.2835,-70.0995,78.91,47,1,4.61,US,1627139128
75,torbay,47.6666,-52.7314,68.76,75,77,7.99,CA,1627139244
76,karratha,-20.7377,116.8463,71.74,58,17,4.34,AU,1627139244
77,seoul,37.5683,126.9778,81.84,58,46,1.5,KR,1627139226
78,bluff,-46.6,168.3333,39.79,80,88,11.77,NZ,1627139187
79,bull savanna,6.1992,-10.2829,79.54,72,100,8.95,LR,1627139245
80,berdigestyakh,62.0989,126.6992,57.24,96,17,5.82,RU,1627139245
81,vaini,-21.2,-175.2,69.96,100,20,1.14,TO,1627139245
82,port alfred,-7.0349,29.7638,80.24,44,5,6.29,CD,1627139072
83,cururupu,-1.8283,-44.8683,84.04,67,44,6.93,BR,1627139246
84,kaitangata,-46.2817,169.8464,39.92,57,62,4.61,NZ,1627138960
85,sobolevo,54.4299,31.8996,70.83,50,93,1.74,RU,1627139246
86,mucurapo,10.6667,-61.5333,84.02,77,100,4.97,TT,1627139246
87,barrow,71.2906,-156.7887,39.22,87,90,0.0,US,1627139055
88,sierra vista,5.1536,-74.9901,77.23,55,100,5.46,CO,1627139247
89,chumikan,54.7183,135.315,55.24,100,100,4.45,RU,1627139247
90,san patricio,13.3034,-4.8956,95.85,35,55,8.99,ML,1627139247
91,butaritari,3.0707,172.7902,83.52,71,0,15.82,KI,1627139193
92,bredasdorp,-34.5322,20.0403,63.28,64,65,1.14,ZA,1627139248
93,mahebourg,-20.4081,57.7,69.26,71,42,10.25,MU,1627139248
94,port hardy,-7.0349,29.7638,80.24,44,5,6.29,CD,1627139072
95,comodoro rivadavia,-13.6631,-59.7858,86.7,28,6,7.27,BR,1627139248
96,safaga,26.7292,33.9365,89.38,42,0,9.51,EG,1627139249
97,cape town,-36.413,-71.9028,51.33,79,90,9.71,CL,1627139023
98,findlay,41.0442,-83.6499,81.25,69,40,10.36,US,1627139249
99,carnarvon,-24.8667,113.6333,62.67,64,40,6.91,AU,1627139249
100,tostedt,53.2833,9.7167,84.81,53,96,8.84,DE,1627139250
101,yishui,35.7847,118.6281,72.73,89,94,2.86,CN,1627139250
